# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
 2126       1.910934170086e+02       5.021018291759e+00       4.640284765040e-02      -4.869702655902e+00       1.999215811763e-09       4.225743067316e-07       1.828594329526e-08 
 2127       1.904190281137e+02       5.027678353991e+00       4.634964738601e-02      -4.782502293017e+00       1.997682122643e-09       4.200968400183e-07       1.896707024986e-08 
 2128       1.897423836339e+02       5.034752579363e+00       4.629637903615e-02      -4.696978401157e+00       1.996149961589e-09       4.176079165152e-07       1.964422790559e-08 
 2129       1.890636151461e+02       5.042231569767e+00       4.624304429489e-02      -4.613151159013e+00       1.994619275145e-09       4.151080546495e-07       2.031713418464e-08 
 2130       1.883828547316e+02       5.050105888529e+00       4.618964486244e-02      -4.531040806878e+00       1.993090009255e-09       4.125977758842e-07       2.098550549872e-08 
 2131       1.877002349769e+02       5.058366060357e+00       4.613618244510e-02      -4.450667646719e+00       1.991562109260e-09       4.100776047251e-07       2.164905674549e-08 
 2132       1.870158889738e+02       5.067002571299e+00       4.608265875531e-02      -4.372052042244e+00       1.990035519895e-09       4.075480687285e-07       2.230750130515e-08 
 2133       1.863299503210e+02       5.076005868695e+00       4.602907551160e-02      -4.295214418960e+00       1.988510185285e-09       4.050096985076e-07       2.296055103694e-08 
 2134       1.856425531236e+02       5.085366361128e+00       4.597543443867e-02      -4.220175264252e+00       1.986986048944e-09       4.024630277404e-07       2.360791627562e-08 
 2135       1.849538319943e+02       5.095074418381e+00       4.592173726735e-02      -4.146955127440e+00       1.985463053776e-09       3.999085931766e-07       2.424930582803e-08 
 2136       1.842639220541e+02       5.105120371390e+00       4.586798573459e-02      -4.075574619849e+00       1.983941142065e-09       3.973469346448e-07       2.488442696955e-08 
 2137       1.835729589322e+02       5.115494512195e+00       4.581418158352e-02      -4.006054414875e+00       1.982420255478e-09       3.947785950601e-07       2.551298544062e-08 
